"code","npias","name","city","state","ADO","service_level","district","fiscal_year","description","grant_number","airport_id","total","entitlement_total","discretionary_total","stimulus_total"
"72S","53-0165","Rosalia Municipal","Rosalia","WA","SEA","GA",5,2008,"Improve Runway Safety Area - 02/20, Install Airfield Guidance Signs, Install Apron Lighting, Rehabilitate Runway - 02/20, Rehabilitate Taxiway","3-53-0165-003-2008","72S",600218.00,600218.00,0.00,0.00
"72S","53-0165","Rosalia Municipal","Rosalia","WA","SEA","GA",5,2009,"Acquire Land for Development","3-53-0165-004-2009","72S",91302.00,91302.00,0.00,0.00
"72S","53-0165","Rosalia Municipal","Rosalia","WA","SEA","GA",5,2009,"Acquire Land for Development","3-53-0165-005-2009","72S",198718.00,198718.00,0.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2005,"Conduct Miscellaneous Study","3-53-0058-030-2005","BFI",100000.00,0.00,100000.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2005,"Rehabilitate Runway - 13R/31L, Rehabilitate Taxiway [Phase 1]","3-53-0058-031-2005","BFI",3628915.00,2028915.00,1600000.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2006,"Conduct Miscellaneous Study [Phase 2]","3-53-0058-032-2006","BFI",560000.00,0.00,560000.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2006,"Rehabilitate Runway [Phase 2] - 13R/31L, Rehabilitate Runway - 13R/31L","3-53-0058-033-2006","BFI",20327598.00,2727598.00,17600000.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2007,"Noise Mitigation Measures for Residences within 70 - 74 DNL","3-53-0058-034-2007","BFI",5000000.00,0.00,5000000.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2008,"Rehabilitate Taxiway","3-53-0058-035-2008","BFI",1216388.00,1216388.00,0.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2008,"Noise Mitigation Measures for Residences within 70 - 74 DNL","3-53-0058-036-2008","BFI",1500000.00,0.00,1500000.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2008,"Rehabilitate Taxiway, Runway Incursion Markings","3-53-0058-037-2008","BFI",8782912.00,260056.00,8522856.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2009,"Safety Management System (SMS) Program","3-53-0058-038-2009","BFI",100000.00,0.00,100000.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2009,"Rehabilitate Taxiway [Design only - Phase 1]","3-53-0058-039-2009","BFI",748379.00,748379.00,0.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2009,"Noise Mitigation Measures for Residences within 70 - 74 DNL","3-53-0058-040-2009","BFI",7000000.00,0.00,7000000.00,0.00
"BFI","53-0058","Boeing Field/King County International","Seattle","WA","SEA","P",7,2009,"Rehabilitate Taxiway [Design only - Phase 2]","3-53-0058-041-2009","BFI",619621.00,619621.00,0.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2005,"Noise Mitigation Measures for Residences within 70 - 74 DNL [Directional insulation for 3rd runway], Noise Mitigation Measures for Residences within 70 - 74 DNL [Multi-residences -- Pinebrook and Town and Country Mobile Home Park]","3-53-0062-089-2005","SEA",2446000.00,0.00,2446000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2005,"Construct Runway [Phase 10] - Plan-1","3-53-0062-090-2005","SEA",25529584.00,5325584.00,20204000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2005,"Improve Runway Safety Area [Runway 16L/34R safety area Phase 3] - 16R/34L","3-53-0062-091-2005","SEA",4000000.00,0.00,4000000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2005,"Install Runway Vertical/Visual Guidance System [Install bridge structure for ALSF, design and construction (Phase 1)] - Plan-1","3-53-0062-092-2005","SEA",2000000.00,0.00,2000000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2005,"Noise Mitigation Measures for Residences within 70 - 74 DNL [Tyee mobile]","3-53-0062-093-2005","SEA",3352000.00,0.00,3352000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2005,"Noise Mitigation Measures for Residences within 65 - 69 DNL","3-53-0062-094-2005","SEA",4471000.00,0.00,4471000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2005,"Rehabilitate Runway - 16R/34L","3-53-0062-095-2005","SEA",1500000.00,0.00,1500000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2005,"Noise Mitigation Measures for Residences within 70 - 74 DNL","3-53-0062-096-2005","SEA",5340056.00,0.00,5340056.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2006,"Construct Runway [Phase 11] - Plan-1","3-53-0062-097-2006","SEA",21341160.00,5137160.00,16204000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2006,"Improve Runway Safety Area [Runway 16L safety area Phase 5] - 16R/34L, Rehabilitate Runway - 16L/34R","3-53-0062-098-2006","SEA",10800000.00,0.00,10800000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2006,"Noise Mitigation Measures for Public Buildings","3-53-0062-099-2006","SEA",3054000.00,0.00,3054000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2006,"Noise Mitigation Measures for Residences within 70 - 74 DNL","3-53-0062-100-2006","SEA",8927085.00,0.00,8927085.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2006,"Install Runway Vertical/Visual Guidance System [Approach lighting 16X (ALSF)] - Plan-1","3-53-0062-101-2006","SEA",7000000.00,0.00,7000000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2007,"Improve Runway Safety Area - 16C/34C","3-53-0062-102-2007","SEA",14000000.00,0.00,14000000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2007,"Install Miscellaneous NAVAIDS","3-53-0062-103-2007","SEA",5000000.00,0.00,5000000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2007,"Construct Runway [Phase 12] - Plan-1","3-53-0062-104-2007","SEA",17590941.00,5455941.00,12135000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2007,"Noise Mitigation Measures for Residences within 70 - 74 DNL [Town & Country]","3-53-0062-105-2007","SEA",2141866.00,0.00,2141866.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2007,"Acquire Land for Noise Compatibility within 70 - 74 DNL","3-53-0062-106-2007","SEA",7748855.00,0.00,7748855.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2007,"Noise Mitigation Measures for Public Buildings","3-53-0062-107-2007","SEA",1747834.00,0.00,1747834.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2007,"Safety Management System (SMS) Program","3-53-0062-108-2007","SEA",200000.00,0.00,200000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2008,"Construct Runway [Phase 13] - Plan-1","3-53-0062-109-2008","SEA",24281078.00,4146078.00,20135000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2008,"Noise Mitigation Measures for Residences within 65 - 69 DNL","3-53-0062-110-2008","SEA",2635208.00,0.00,2635208.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2008,"Acquire Land for Noise Compatibility within 65 - 69 DNL","3-53-0062-111-2008","SEA",7414647.00,0.00,7414647.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2008,"Noise Mitigation Measures for Public Buildings","3-53-0062-112-2008","SEA",1950145.00,0.00,1950145.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2008,"Construct Runway [Phase 14] - Plan-1","3-53-0062-113-2008","SEA",1392364.00,1392364.00,0.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2008,"Safety Management System (SMS) Program","3-53-0062-114-2008","SEA",375000.00,0.00,375000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2009,"Construct Runway [Phase 15 Part A program] - Plan-1","3-53-0062-115-2009","SEA",15585650.00,1885650.00,13700000.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2009,"Acquire Land for Noise Compatibility within 70 - 74 DNL","3-53-0062-116-2009","SEA",11662255.00,0.00,11662255.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2009,"Rehabilitate Runway - 16L/34R","3-53-0062-117-2009","SEA",18014732.00,0.00,18014732.00,0.00
"SEA","53-0062","Seattle-Tacoma International","Seattle","WA","SEA","P",7,2009,"Construct Runway [Phase 16] - Plan-1","3-53-0062-118-2009","SEA",3793013.00,3793013.00,0.00,0.00
"SHN","53-0069","Sanderson Field","Shelton","WA","SEA","GA",6,2007,"Update Airport Master Plan Study","3-53-0069-009-2007","SHN",77435.00,77435.00,0.00,0.00
"SHN","53-0069","Sanderson Field","Shelton","WA","SEA","GA",6,2009,"Improve Airport Miscellaneous Improvements, Rehabilitate Apron","3-53-0069-010-2009","SHN",159976.00,159976.00,0.00,0.00
"SHN","53-0069","Sanderson Field","Shelton","WA","SEA","GA",6,2009,"Conduct aeronautical survey for WAAS approach, Improve Airport Miscellaneous Improvements, Rehabilitate Apron","3-53-0069-011-2009","SHN",212589.00,212589.00,0.00,0.00
"S43","53-0070","Harvey Field","Snohomish","WA","SEA","",,,"","","",,,,
"SFF","53-0073","Felts Field","Spokane","WA","SEA","R",5,2006,"Construct Taxiway","3-53-0073-018-2006","SFF",343367.00,343367.00,0.00,0.00
"SFF","53-0073","Felts Field","Spokane","WA","SEA","R",5,2007,"Construct Access Road [Design], Install Airfield Guidance Signs [Design Phase 1]","3-53-0073-019-2007","SFF",101178.00,101178.00,0.00,0.00
"SFF","53-0073","Felts Field","Spokane","WA","SEA","R",5,2008,"Install Airfield Guidance Signs","3-53-0073-020-2008","SFF",439289.00,439289.00,0.00,0.00
"SFF","53-0073","Felts Field","Spokane","WA","SEA","R",5,2008,"Install Airfield Guidance Signs [Install lighting circuit for south side RW 3L/21R]","3-53-0073-021-2008","SFF",62418.00,62418.00,0.00,0.00
"SFF","53-0073","Felts Field","Spokane","WA","SEA","R",5,2009,"Install Airfield Guidance Signs [Install lighting circuit for north side RW 3L/21R and rest of airfield - Phase 4]","3-53-0073-022-2009","SFF",48693.00,48693.00,0.00,0.00
"SFF","53-0073","Felts Field","Spokane","WA","SEA","R",5,2009,"Install Airfield Guidance Signs","3-53-0073-023-2009","SFF",413016.00,413016.00,0.00,0.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2005,"Extend Taxiway, Extend Taxiway, Install Weather Reporting Equipment","3-53-0072-035-2005","GEG",8807110.00,5307110.00,3500000.00,0.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2006,"Construct Taxiway, Rehabilitate Apron","3-53-0072-036-2006","GEG",961802.00,961802.00,0.00,0.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2007,"Acquire Aircraft Rescue & Fire Fighting Vehicle, Construct Apron, Rehabilitate Apron, Rehabilitate Taxiway","3-53-0072-037-2007","GEG",4659002.00,4659002.00,0.00,0.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2008,"Install Runway Incursion Caution Bars, Rehabilitate Taxiway","3-53-0072-038-2008","GEG",4419703.00,4419703.00,0.00,0.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2008,"Install Runway Incursion Caution Bars, Rehabilitate Taxiway","3-53-0072-039-2008","GEG",2514903.00,0.00,2514903.00,0.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2009,"Rehabilitate Apron [Construction - Phase 2]","3-53-0072-040-2009","GEG",2433287.00,2433287.00,0.00,0.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2009,"Rehabilitate Runway - 03/21","3-53-0072-041-2009","GEG",6394000.00,0.00,0.00,6394000.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2009,"Rehabilitate Apron","3-53-0072-042-2009","GEG",7645213.00,0.00,0.00,7645213.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2009,"Rehabilitate Taxiway","3-53-0072-043-2009","GEG",720884.00,720884.00,0.00,0.00
"GEG","53-0072","Spokane International","Spokane","WA","SEA","P",5,2009,"Rehabilitate Apron","3-53-0072-044-2009","GEG",5551993.00,3481593.00,2070400.00,0.00
"1S5","53-0074","Sunnyside Municipal","Sunnyside","WA","SEA","GA",4,2009,"Construct Apron, Construct Taxiway","3-53-0074-003-2009","1S5",273693.00,273693.00,0.00,0.00
"1S5","53-0074","Sunnyside Municipal","Sunnyside","WA","SEA","GA",4,2009,"Construct Taxiway","3-53-0074-004-2009","1S5",414629.00,414629.00,0.00,0.00
"TIW","53-0076","Tacoma Narrows","Tacoma","WA","SEA","GA",9,2005,"Improve Runway Safety Area - 17/35","3-53-0076-009-2005","TIW",3450000.00,150000.00,3300000.00,0.00
"TIW","53-0076","Tacoma Narrows","Tacoma","WA","SEA","GA",9,2007,"Improve Runway Safety Area [Phase 4] - 17/35, Install Perimeter Fencing","3-53-0076-010-2007","TIW",8150313.00,730390.00,7419923.00,0.00
"TIW","53-0076","Tacoma Narrows","Tacoma","WA","SEA","GA",9,2009,"Improve Runway Safety Area [Phase 5] - 17/35","3-53-0076-011-2009","TIW",123693.00,123693.00,0.00,0.00
"TIW","53-0076","Tacoma Narrows","Tacoma","WA","SEA","GA",9,2009,"Improve Runway Safety Area - 17/35","3-53-0076-012-2009","TIW",176307.00,176307.00,0.00,0.00
"TDO","53-0078","Ed Carlson Memorial Field - South Lewis County","Toledo","WA","SEA","GA",3,2007,"Conduct aeronautical survey for WAAS approach [LPV survey runway ends 5 and 23], Construct Apron, Construct Taxiway [ph 1 environmental]","3-53-0078-002-2007","TDO",233808.00,145143.00,88665.00,0.00
"TDO","53-0078","Ed Carlson Memorial Field - South Lewis County","Toledo","WA","SEA","GA",3,2008,"Construct Apron, Rehabilitate Apron","3-53-0078-003-2008","TDO",513356.00,513356.00,0.00,0.00
"TDO","53-0078","Ed Carlson Memorial Field - South Lewis County","Toledo","WA","SEA","GA",3,2009,"Construct Taxiway","3-53-0078-004-2009","TDO",106115.00,106115.00,0.00,0.00
"VUO","53-0139","Pearson Field","Vancouver","WA","SEA","",,,"","","",,,,
"2S1","53-0147","Vashon Municipal","Vashon","WA","SEA","GA",8,2009,"Remove Obstructions","3-53-0147-001-2009","2S1",48693.00,48693.00,0.00,0.00
"2S1","53-0147","Vashon Municipal","Vashon","WA","SEA","GA",8,2009,"Remove Obstructions","3-53-0147-002-2009","2S1",34925.00,34925.00,0.00,0.00
"ALW","53-0083","Walla Walla Regional","Walla Walla","WA","SEA","P",5,2005,"Acquire Land For Approaches, Install Emergency Generator, Install Miscellaneous NAVAIDS","3-53-0083-021-2005","ALW",1846845.00,1846845.00,0.00,0.00
"ALW","53-0083","Walla Walla Regional","Walla Walla","WA","SEA","P",5,2006,"Acquire Aircraft Rescue & Fire Fighting Safety Equipment [oxygen tanks], Rehabilitate Apron","3-53-0083-022-2006","ALW",1118095.00,1118095.00,0.00,0.00
"ALW","53-0083","Walla Walla Regional","Walla Walla","WA","SEA","P",5,2007,"Install Airport Beacons, Install Runway Vertical/Visual Guidance System - 02/20, Rehabilitate Apron","3-53-0083-023-2007","ALW",317500.00,317500.00,0.00,0.00
"ALW","53-0083","Walla Walla Regional","Walla Walla","WA","SEA","P",5,2008,"Install Runway Vertical/Visual Guidance System - 02/20, Rehabilitate Apron, Runway Incursion Markings","3-53-0083-024-2008","ALW",588411.00,588411.00,0.00,0.00
"ALW","53-0083","Walla Walla Regional","Walla Walla","WA","SEA","P",5,2009,"Rehabilitate Apron","3-53-0083-025-2009","ALW",877711.00,877711.00,0.00,0.00
"ALW","53-0083","Walla Walla Regional","Walla Walla","WA","SEA","P",5,2009,"Acquire Land For Approaches, Rehabilitate Apron, Runway Incursion Markings [enhanced taxiway markings], Security Enhancements","3-53-0083-026-2009","ALW",1228469.00,1228469.00,0.00,0.00
"EAT","53-0084","Pangborn Memorial","Wenatchee","WA","SEA","P",4,2005,"Extend Runway - 12/30, Extend Runway - 12/30","3-53-0084-025-2005","EAT",3274518.00,3274518.00,0.00,0.00
"EAT","53-0084","Pangborn Memorial","Wenatchee","WA","SEA","P",4,2007,"Conduct Miscellaneous Study","3-53-0084-026-2007","EAT",142500.00,142500.00,0.00,0.00
"EAT","53-0084","Pangborn Memorial","Wenatchee","WA","SEA","P",4,2007,"Acquire Land For Approaches, Construct Taxiway, Modify Terminal Building, Rehabilitate Access Road","3-53-0084-027-2007","EAT",1694799.00,1694799.00,0.00,0.00
"EAT","53-0084","Pangborn Memorial","Wenatchee","WA","SEA","P",4,2008,"Install Perimeter Fencing, Modify Terminal Building, Rehabilitate Access Road, Rehabilitate Taxiway","3-53-0084-028-2008","EAT",639504.00,639504.00,0.00,0.00
"EAT","53-0084","Pangborn Memorial","Wenatchee","WA","SEA","P",4,2009,"Modify Terminal Building [Phase 3]","3-53-0084-029-2009","EAT",504869.00,504869.00,0.00,0.00
"EAT","53-0084","Pangborn Memorial","Wenatchee","WA","SEA","P",4,2009,"Rehabilitate Taxiway, Runway Incursion Markings","3-53-0084-030-2009","EAT",1317000.00,0.00,0.00,1317000.00
"EAT","53-0084","Pangborn Memorial","Wenatchee","WA","SEA","P",4,2009,"Acquire Safety Equipment and/or Fencing, Improve Access Road, Modify Terminal Building, Security Enhancements","3-53-0084-031-2009","EAT",855627.00,855627.00,0.00,0.00
"2S8","53-0087","Wilbur","Wilbur","WA","SEA","GA",5,2007,"Acquire Land For Approaches, Install Airfield Guidance Signs","3-53-0087-002-2007","2S8",84293.00,84293.00,0.00,0.00
"2S8","53-0087","Wilbur","Wilbur","WA","SEA","GA",5,2007,"Acquire Easement For Approaches, Acquire Land For Approaches, Acquire Land for Development","3-53-0087-003-2007","2S8",118011.00,118011.00,0.00,0.00
"2S8","53-0087","Wilbur","Wilbur","WA","SEA","GA",5,2008,"Extend Runway - 02/20, Rehabilitate Runway - 02/20","3-53-0087-004-2008","2S8",108686.00,108686.00,0.00,0.00
"2S8","53-0087","Wilbur","Wilbur","WA","SEA","GA",5,2009,"Rehabilitate Runway [Reconstruct RW including extension] - 02/20","3-53-0087-006-2009","2S8",2205390.00,0.00,0.00,2205390.00
"2S8","53-0087","Wilbur","Wilbur","WA","SEA","GA",5,2009,"Rehabilitate Runway - 02/20","3-53-0087-007-2009","2S8",235619.00,235619.00,0.00,0.00
"2S8","53-0087","Wilbur","Wilbur","WA","SEA","GA",5,2009,"Extend Taxiway","3-53-0087-008-2009","2S8",800000.00,0.00,0.00,800000.00
"S52","53-0110","Methow Valley State","Winthrop","WA","SEA","GA",5,2009,"Install Runway Lighting [Phase 1] - 13/31","3-53-0110-005-2009","S52",198693.00,198693.00,0.00,0.00
"YKM","53-0089","Yakima Air Terminal/McAllister Field","Yakima","WA","SEA","P",4,2006,"Conduct Miscellaneous Study, Construct Taxiway","3-53-0089-026-2006","YKM",220898.00,220898.00,0.00,0.00
"YKM","53-0089","Yakima Air Terminal/McAllister Field","Yakima","WA","SEA","P",4,2007,"Improve Runway Safety Area - 04/22, Improve Runway Safety Area - 09/27","3-53-0089-027-2007","YKM",809740.00,809740.00,0.00,0.00
"YKM","53-0089","Yakima Air Terminal/McAllister Field","Yakima","WA","SEA","P",4,2009,"Improve Runway Safety Area - 09/27, Install Airfield Guidance Signs, Runway Incursion Markings","3-53-0089-028-2009","YKM",2824918.00,2824918.00,0.00,0.00
"YKM","53-0089","Yakima Air Terminal/McAllister Field","Yakima","WA","SEA","P",4,2009,"Install Miscellaneous NAVAIDS [Relocate REILS PH-1 (Fed Owned & Airport Owned) Design Only FY2009], Rehabilitate Runway [Design Only FY2009] - 09/27","3-53-0089-029-2009","YKM",224300.00,224300.00,0.00,0.00
"YKM","53-0089","Yakima Air Terminal/McAllister Field","Yakima","WA","SEA","P",4,2009,"Acquire Miscellaneous Land","3-53-0089-030-2009","YKM",1954522.00,1954522.00,0.00,0.00
"AHH","55-0097","Amery Municipal","Amery","WI","MSP","",,,"","","",,,,
"AIG","55-0001","Langlade County","Antigo","WI","MSP","",,,"","","",,,,
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2005,"Construct Service Road","3-55-0002-028-2005","ATW",505788.00,0.00,505788.00,0.00
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2005,"Rehabilitate Taxiway [rehab taxiway B]","3-55-0002-029-2005","ATW",2003879.00,1490825.00,513054.00,0.00
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2006,"Acquire Land for Development, Acquire Snow Removal Equipment, Construct Taxiway [environmental assessment]","3-55-0002-030-2006","ATW",1555058.00,1555058.00,0.00,0.00
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2007,"Construct Taxiway","3-55-0002-031-2007","ATW",3470922.00,3470922.00,0.00,0.00
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2008,"Construct Taxiway","3-55-0002-032-2008","ATW",1677986.00,1677986.00,0.00,0.00
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2008,"Construct Taxiway","3-55-0002-033-2008","ATW",559329.00,559329.00,0.00,0.00
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2008,"Install Perimeter Fencing","3-55-0002-034-2008","ATW",700000.00,0.00,700000.00,0.00
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2009,"Acquire Safety Equipment and/or Fencing","3-55-0002-035-2009","ATW",1600000.00,0.00,1600000.00,0.00
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2009,"Security Enhancements","3-55-0002-036-2009","ATW",2003149.00,2003149.00,0.00,0.00
"ATW","55-0002","Outagamie County Regional","Appleton","WI","MSP","P",8,2009,"Conduct Airport Master Plan Study, Improve Terminal Building","3-55-0002-037-2009","ATW",1392212.00,332154.00,1060058.00,0.00
"ASX","55-0003","John F Kennedy Memorial","Ashland","WI","MSP","",,,"","","",,,,
"DLL","55-0004","Baraboo Wisconsin Dells","Baraboo","WI","MSP","",,,"","","",,,,
"BCK","55-0008","Black River Falls Area","Black River Falls","WI","MSP","",,,"","","",,,,
"OVS","55-0119","Boscobel","Boscobel","WI","MSP","",,,"","","",,,,
"3T3","55-0123","Boyceville Municipal","Boyceville","WI","MSP","",,,"","","",,,,
"02C","55-0122","Capitol","Brookfield","WI","MSP","",,,"","","",,,,
"BUU","55-0010","Burlington Municipal","Burlington","WI","MSP","",,,"","","",,,,
"3CU","55-0011","Cable Union","Cable","WI","MSP","",,,"","","",,,,
"CLI","55-0013","Clintonville Municipal","Clintonville","WI","MSP","",,,"","","",,,,
"Y55","55-0015","Crandon Municipal","Crandon","WI","MSP","",,,"","","",,,,
"3D1","55-0129","Crivitz Municipal","Crivitz","WI","MSP","",,,"","","",,,,
"UBE","55-0016","Cumberland Municipal","Cumberland","WI","MSP","",,,"","","",,,,
"EGV","55-0017","Eagle River Union","Eagle River","WI","MSP","",,,"","","",,,,
"57C","55-0018","East Troy Municipal","East Troy","WI","MSP","",,,"","","",,,,
"EAU","55-0019","Chippewa Valley Regional","Eau Claire","WI","MSP","P",7,2005,"Acquire Aircraft Deicing Equipment, Acquire Snow Removal Equipment, Rehabilitate Apron","3-55-0019-025-2005","EAU",592709.00,592709.00,0.00,0.00
"EAU","55-0019","Chippewa Valley Regional","Eau Claire","WI","MSP","P",7,2006,"Conduct Miscellaneous Study, Rehabilitate Apron","3-55-0019-026-2006","EAU",630451.00,630451.00,0.00,0.00
"EAU","55-0019","Chippewa Valley Regional","Eau Claire","WI","MSP","P",7,2007,"Improve Terminal Building","3-55-0019-027-2007","EAU",1000000.00,1000000.00,0.00,0.00
"EAU","55-0019","Chippewa Valley Regional","Eau Claire","WI","MSP","P",7,2008,"Improve Terminal Building","3-55-0019-028-2008","EAU",3711252.00,1533752.00,2177500.00,0.00
"EAU","55-0019","Chippewa Valley Regional","Eau Claire","WI","MSP","P",7,2008,"Acquire Snow Removal Equipment [Snow Blade attachment], Improve Terminal Building [Phase 3 Civil Site Work Bldg East Side], Remove Obstructions [Runway 14 Tree Clearing], Runway Incursion Markings [Enhanced Taxiway Centerline Markings]","3-55-0019-029-2008","EAU",526950.00,526950.00,0.00,0.00
"EAU","55-0019","Chippewa Valley Regional","Eau Claire","WI","MSP","P",7,2009,"Improve Terminal Building [Entrance Canopy, Boarding bridge, Skylight, Apron expansionm Taxiway C, Txwy markings], Runway Incursion Markings","3-55-0019-030-2009","EAU",3131998.00,1136998.00,1995000.00,0.00
"3D2","55-0020","Ephraim-Fish Creek","Ephraim","WI","MSP","",,,"","","",,,,
"FLD","55-0021","Fond du Lac County","Fond du Lac","WI","MSP","",,,"","","",,,,
"61C","55-0120","Fort Atkinson Municipal","Fort Atkinson","WI","MSP","",,,"","","",,,,
"63C","55-0104","Adams County Legion Field","Friendship (Adams)","WI","MSP","",,,"","","",,,,
"GTG","55-0128","Grantsburg Municipal","Grantsburg","WI","MSP","",,,"","","",,,,
"GRB","55-0025","Austin Straubel International","Green Bay","WI","MSP","P",8,2005,"Construct Runway Safety Area - 18/36, Construct Runway Safety Area - 18/36","3-55-0025-034-2005","GRB",3492087.00,3182615.00,309472.00,0.00
"GRB","55-0025","Austin Straubel International","Green Bay","WI","MSP","P",8,2006,"Acquire Land For Approaches, Improve Runway Safety Area - 18/36","3-55-0025-035-2006","GRB",2396085.00,2396085.00,0.00,0.00
"GRB","55-0025","Austin Straubel International","Green Bay","WI","MSP","P",8,2007,"Rehabilitate Runway [Phase 1 Reconstruct runway] - 06/24","3-55-0025-036-2007","GRB",7410360.00,2960402.00,4449958.00,0.00
"GRB","55-0025","Austin Straubel International","Green Bay","WI","MSP","P",8,2008,"Acquire Land For Approaches [Acquire Parcel No. 90a for approach protection]","3-55-0025-037-2008","GRB",40150.00,40150.00,0.00,0.00
"GRB","55-0025","Austin Straubel International","Green Bay","WI","MSP","P",8,2009,"Rehabilitate Runway - 18/36, Rehabilitate Taxiway","3-55-0025-038-2009","GRB",2265000.00,0.00,0.00,2265000.00
"GRB","55-0025","Austin Straubel International","Green Bay","WI","MSP","P",8,2009,"Construct Sand and Chemical Storage Building, Construct Snow Removal Equipment Building [Design and construct replacement snow removal equipment building]","3-55-0025-039-2009","GRB",6157018.00,6157018.00,0.00,0.00
"HXF","55-0026","Hartford Municipal","Hartford","WI","MSP","",,,"","","",,,,
"HYR","55-0027","Sawyer County","Hayward","WI","MSP","",,,"","","",,,,
"JVL","55-0028","Southern Wisconsin Regional","Janesville","WI","MSP","",,,"","","",,,,
"UNU","55-0115","Dodge County","Juneau","WI","MSP","",,,"","","",,,,
"ENW","55-0029","Kenosha Regional","Kenosha","WI","MSP","",,,"","","",,,,
