/AA|Anchorage, AK: (Anchorage Mean)
SBN|South Bend, IN: Michiana Regional
SBO|Salina, UT: Salina-Gunnison
SBP|San Luis Obispo/Paso Robles, CA: San Luis Obispo/Paso Robles Airport
SBR|Saibai Island, Au|
SBS|Steamboat Springs, CO: Steamboat Springs
SBT|San Bernardino, CA: Tri-City
SBU|Springbok, Republic Of South Africa: Springbok
SBV,South Boston: William M Tuck
SBW|Sibu, Malaysia: Sibu Airport
SBY|Salisbury, MD: Salisbury Wicomico County
SBZ|Sibiu, Romania: Sibiu Airport
SC1|Beaufort, SC: Beaufort Mcas
SC2|Winnsboro, SC: Winnsboro Airport
SC3|Conway, SC: Conway-Horry  County
SCC|Deadhorse, AK: Deadhorse Airport
SCD|Sulaco, Honduras: Sulaco
SCE|State College, PA: University Park
SCF|Phoenix, AZ: Scottsdale Municipal
SCH|Schenectady, NY: Schenectady County
SCI|San Cristobal, Venezuela: San Cristobal Airport
SCJ|Smith Cove, AK: Smith Cove Airport
SCK|Stockton, CA: Stockton Metropolitan
SCL|Santiago, Chile: Arturo Merino Benitz
SCM|Scammon Bay, AK: Scammon Bay Airport
SCN|Saarbrucken, Germany: Saarbrucken Ensheim
SCO|Shevchenko, Kazakhstan: Shevchenko Airport
SCQ|Santiago De Compostela, Spain: Santiago
SCT|Socotra, Ye|
SCU|Santiago, Cuba: Antonio Maceo
SCV|Suceava, Romania: Suceava Airport
SCW|Syktyvkar, Ru|
SCX|Salina Cruz, Mexico: Salina Cruz Airport
SCY|San Cristobal, Ecuador: San Cristobal Airport
SCZ|Nendo, Sb|
SD1|Onida, SD: Onida Municipal
SDA|Baghdad, Iraq: Baghdad International
SDD|Lubango, Angola: Sa Da Bandeira
SDE|Santiago Del Estero, Argentina: Santiago Del Estero Airport
SDF|Louisville, KY: Standiford Field
SDG|Sanandaj, Iran: Sanandaj Airport
SDH|Santa Rosa De Copan, Honduras: Santa Rosa De Copan Airport
SDI|Saidor, Pg|
SDJ|Sendai, Japan: Sendai Airport
SDK|Sandakan, Malaysia: Sandakan Airport
SDL|Sundsvall, Sweden: Sudsvall Harnosand
SDM|San Diego, CA: Brown Field Municipal
SDN|Sandane, Norway: Sandane
SDP|Sandpoint, AK: Sand Point
SDQ|Santo Domingo, Dominican Republic: De Las Americas International
SDR|Santander, Spain: Santander Airport
SDT|Saidu Sharif, Pakistan: Saidu Sharif Airport
SDU|Rio De Janeiro, Brazil: Santos Dumont
SDV|Sde Dov, Israel: Sde Dov A/D Tel Aviv Israel
SDX|Sedona, AZ: Sedona Airport
SDY|Sidney, MT: Sidney/Richland Municipal
SE1|Solleftea, Sweden: Solleftea Airport
SEA|Seattle, WA: Seattle/Tacoma International
SEB|Sebha, Libya: Sebha Airport
SEE|San Diego, CA: Gillespie Field
SEF|Sebring, FL: Sebring  and Industrial
SEG|Selinsgrove, PA: Penn Valley
SEL|Seoul, South Korea: Kimpo International
SEM|Selma, AL: Craig Air Force Base
SEN|Southend-On-Sea, United Kingdom: Southend
SEQ|Sungai Pakning, Indonesia: Sungaipakning
SER|Seymour, IN: Freeman Municipal
SES|Selma, AL: Selfield
SEU|Unknown Code Description|
SEY|Selibaby, Mauritania: Selibabi
SEZ|Mahe Islands, Seychelles Islands: Seychelles International
SFA|Sfax, Tunisia: El Maou
SFB|Sanford, FL: Ramey Nas
SFC|St. Francois, Guadeloupe-France: St. Francois Airport
SFD|San Fernando, Venezuela: San Fernando De Apure
SFE|San Fernando, Ph|
SFF|Spokane, WA: Felts Field
SFG|Marigot, St. Martin - France: Esperance
SFH|San Felipe, Mexico: San Felipe Airport
SFI|Safi, Morocco|
SFJ|Sondre Stromfjord, Greenland - Denmark: Sondrestrom Air Base
SFK,Stony Fork: Aero Acres
SFL|Sao Filipe, Cape Verde Islands: Sao Filipe Airport
SFM|Sanford, ME: Sanford Municipal
SFN|Santa Fe, Argentina: Esperanza
SFO|San Francisco, CA: San Francisco International
SFP|Surfers Paradise, Australia: Surfers Paradise Airport
SFQ|Sanliurfa, Tr|
SFS|Subic Bay, Philippines: Subic Bay International
SFT|Skelleftea, Sweden: Skelleftea Airport
SFU|Safia, Papua New Guinea: Safia Airport
SFW|Santa Fe, Panama Republic: Santa Fe Airport
SFZ|Smithfield, RI: North Central State
SGB|Singaua, Papua New Guinea: Singaua Airport
SGC|Surgut, Russia (Asian): Surgut Airport
SGD|Sonderborg, Denmark: Sonderborg Old
SGE|Siegen, Germany: Siegerland
SGF|Springfield, MO: Springfield Regional
SGG|Simanggang, Malaysia: Simanggang
SGH|Springfield, OH: Springfield Municipal
SGJ|Sagarai, Papua New Guinea: Sagarai Airport
SGK|Sangapi, Pg|
SGL|Sangley Point, Philippines: Sangley Point Ab
SGM|San Ignacio, Mexico: San Ignacio Airport
SGN|Ho Chi Minh City, Vietnam: Tan Son Nhat International
SGO|St. George, Australia: St. George Airport
SGP|Shay Gap, Australia: Shay Gap Airport
SGR|Sugar Land, TX: Sugar Land/Hull Field
SGS|Sanga Sanga, Philippines|
SGT|Stuttgart, AR: Stuttgart Municipal
SGU|St. George, UT: St George Municipal
SGW|Saginaw Bay, AK: Saginaw
SGX|Songea, Tanzania: Songea Airport
SGY|Skagway, AK: Skagway Airport
SGZ|Singora, Thailand: Songkhla
SHA|Shanghai, China: Hongqiao International
SHB|Nakashibetsu, Japan: Nakashibetsu Airport
SHC|Indaselassie, Ethiopia: Shire
SHD|Staunton, VA: Shenandoah Valley
SHE|Shenyang, China: Shenyang Airport
SHG|Shungnak, AK: Shungnak Airport
SHH|Shishmaref, AK: Shishmaref Airport
SHI|Shimojishima, Japan: Shimojishima Airport
SHJ|Sharjah, United Arab Emirates: Sharjah Airport
SHL|Shillong, India: Shillong Airport
SHM|Nanki Shirahama, Japan: Nanki Shirahama Airport
SHN|Shelton, WA: Sanderson Field
SHO|Sokcho, South Korea: Sokcho/R-407
SHP|Qinhuangdao, Cn|
SHR|Sheridan, WY: Sheridan County
SHS|Shashi, Cn|
SHT|Shepparton, Au|
SHU|Shute Harbour, Australia: Shute Harbour Aust.
SHV|Shreveport, LA: Shreveport Regional
SHW|Sharurah, Saudi Arabia: Sharurah Airport
SHX|Shageluk, AK: Shageluk Airport
SHY|Unknown Code Description|
SIA|Xi An, China: Xi An Xiguan
SIB|Sibiti, Cg|
SIC|Sinop, Tr|
SID|Sal Island, Cape Verde Islands: Amilcar Cabral International
SIF|Simra, Np|
SIG|San Juan, PR: Isla Grande
SIH|Silgadi Doti, Nepal: Silgarhi Doti
SII|Sidi Ifni, Morocco: Sidi Ifni Airport
SIJ|Siglufjordur, Is|
SIK|Sikeston, MO: Sikeston Memorial Municipal
SIL|Sila, Pg|
SIM|Simbai, Papua New Guinea: Simbai Airport
SIN|Singapore, Singapore: Changi
SIO|Smithton, Australia: Smithton Airport
SIP|Simferopol, Ukraine: Simferopol Airport
SIR|Sion, Ch|
SIS|Sishen, Republic Of South Africa: Sishen Airport
SIT|Sitka, AK: Sitka Harbor Sea Plane Base
SIU|Siuna, Nicaragua: Siuna Airport
SIX|Singleton, Au|
SIY|Montague, CA: Siskiyou County
SJB|San Joaquin, Bo|
SJC|San Jose, CA: San Jose International
SJD|San Jose Del Cabo, Mexico: Los Cabos International
SJE|San Jose Del Guaviare, Co|
SJF|St. John, VI: St. John Airport
SJI|San Jose, Philippines: San Jose Airport
SJJ|Sarajevo, Bosnia and Herzegovina: Sarajevo/Butmir
SJK|Sao Jose Dos Campos, Brazil: Sao Jose Dos Campos Airport
SJL|Sao Gabriel, Br|
SJM|San Juan, Do|
SJN|St. Johns, AZ: St. Johns Industr Air Park
SJO|San Jose, Costa Rica: Santamaria International
SJP|Sao Jose Do Rio Preto, Brazil: Sao Jose Do Rio Preto Airport
SJQ|Sesheke, Zambia: Sesheke Airport
SJS|San Jose, Bolivia: San Jose Airport
SJT|San Angelo, TX: Mathis Field
SJU|San Juan, PR: Luis Munoz Marin International
SJV|San Javier, Bolivia: San Javier Airport
SJW|Shijiazhuang, China: Daguocun International
SJY|Seinajoki, Finland: Ilmajoki
SJZ|Sao Jorge Island, Portugal: Sao Jorge
SKA|Spokane, WA: Fairchild Air Force Base
SKB|St. Kitts, St. Kitts and Nevis: Golden Rock
SKC|Suki, Papua New Guinea: Suki Airport
SKD|Samarkand, Uzbekistan: Samarkand Airport
SKE|Skien, Norway: Geiteryggen
SKF|San Antonio, TX: Kelly Air Force Base
SKG|Thessaloniki, Greece: Thessaloniki Airport
SKH|Surkhet, Np|
SKI|Skikda, Algeria|
SKJ|Sitkinak, AK: Sitkinak Cgs
SKK|Shaktoolik, AK: Shaktolik
SKL|Isle Of Skye, United Kingdom: Isle Of Skye Airport
SKN|Stokmarknes, Norway: Stokmarknes Airport
SKO|Sokoto, Nigeria: Sokoto Airport
SKP|Skopje, Macedonia: Skopje Airport
SKR|Shakiso, Et|
SKS|Skrydstrup, Denmark: Skrydstrup Airport
SKU|Skiros, Greece: Skiros Airport
SKW|Skwentna, AK: Skwentna Airport
SKX|Saransk, Ru|
SKY|Sandusky, OH: Griffing/Sandusky
SKZ|Sukkur, Pakistan: Sukkur Airport
SLA|Salta, Argentina: Salta Airport
SLB|Storm Lake, IA: Storm Lake Airport
SLC|Salt Lake City, UT: Salt Lake International
SLD|Sliac, Slovakia: Sliac Airport
SLE|Salem, OR: Mcnary Field
SLH|Sola, Vanuatu: Sola Airport
SLI|Solwezi, Zambia: Solwezi Airport
SLJ|Chandler, AZ: Stellar Air Park
SLK|Saranac Lake/Lake Placid, NY: Adirondack
SLL|Salalah, Oman: Salalah Airport
SLM|Salamanca, Spain|
SLN|Salina, KS: Salina Municipal
SLO|Salem, IL: Salem/Leckrone
SLP|San Luis Potosi, Mexico: San Luis Potosi Airport
SLQ|Sleetmute, AK: Sleetmute Airport
SLR|Sulphur Springs, TX: Sulphur Springs Municipal
SLS|Silistra, Bulgaria: Silistra Airport
SLT|Salida, CO: Harriet Alexander Field
SLU|St. Lucia, St. Lucia: Vigie Field
SLV|Simla, India: Simla Airport
SLW|Saltillo, Mexico: Saltillo New
SLX|Salt Cay, Turks and Caicos Islands-UK: Salt Cay Airport
SLY|Salehard, Ru|
SLZ|Sao Luiz, Brazil: Tirirical
SMA|Santa Maria, Portugal: Santa Maria Airport
SMB|Cerro El Sombrero, Chile: Cerro El Sombrero
SMC|Santa Maria, Colombia: Santa Maria Airport
SME|Somerset, KY: Somerset/Pulaski Co/Wilson
SMF|Sacramento, CA: Sacramento International
SMI|Samos, Greece: Samos Airport
SMJ|Unknown Code Description|
SMK|St. Michael, AK: St Michael
SML|Stella Maris, Bahamas: Estate Airstrip
SMM|Semporna, My|
SMN|Salmon, ID: Salmon Airport
SMO|Santa Monica, CA: Santa Monica Airport
SMQ|Sampit, Id|
SMR|Santa Marta, Colombia: Simon Bolivar
SMS|St. Marie, Madagascar: Sainte Marie
SMT,Stone Mountain: Stone Mountain
SMU|Sheep Mountain, Ak|
SMV|St. Moritz, Switzerland: St. Moritz
SMX|Santa Maria, CA: Santa Maria Public
SMY|Simenti, Senegal: Simenti Airport
SMZ|Stoelmanseiland, Surinam: Stoelmans Eiland
SNA|Santa Ana, CA: John Wayne Orange County
SNB|Snake Bay, Australia: Snake Bay Airport
SNC|Salinas, Ecuador|
SNE|Sao Nicolau, Cape Verde Islands: Preguica
SNF|San Felipe, Venezuela: San Felipe Airport
SNG|San Ignacio De Velasco, Bolivia: San Ignacio De Velasco Airport
SNI|Sinoe, Liberia: Sinoe Airport
SNL|Shawnee, OK: Shawnee Municipal
SNM|San Ignacio De Moxos, Bolivia: San Ignacio De Moxos Airport
SNN|Shannon, Ireland: Shannon Airport
SNO|Sakon Nakhon, Thailand|
SNP|St. Paul, AK: St. Paul Airport
SNQ|San Quintin, Mexico: San Quintin Southeast
SNR|St. Nazaire, France: St Nazaire
SNS|Salinas/Monterey, CA: Salinas Municipal
SNT|Santo, New Hebrides: N Heb Pekoa
SNU|Santa Clara, Cuba: Santa Clara Airport
SNV|Santa Elena, Venezuela: Wonkin
SNW|Thandwe, Myanmar: Thandwe Airport
SNY|Sidney, NE: Sidney Municipal
SOC|Solo, Indonesia: Panasan
SOD|Sorocaba, Br|
SOF|Sofia, Bulgaria: Sofia International
SOG|Sogndal, Norway: Sogndal Airport
SOI|South Molle Island, Australia: S Molle
SOJ|Sorkjosen, Norway: Sorkjosen Airport
SOK|Semonkong, Lesotho: Semonkong Airport
SOL|Solomon, AK: Solomon State
SOM|San Tome, Venezuela: San Tome Airport
SON|Espiritu Santo, Vanuatu: Espiritu
SOO|Songo, Mozambique: Songo
SOP|So.Pines/Pinhrst/Aberdeen, NC: Pinehurst Southern Pines
SOQ|Sorong, Indonesia: Sorong
SOR|Winfield, KS: Oxford Municipal
SOS|Solo, Indonesia: Solo Indonesia
SOT|Sodankyla, Fi|
SOU|Southampton, United Kingdom: Eastleigh
SOV|Seldovia, AK: Seldovia  Sea Plane Base
SOW|Show Low, AZ: Show Low Airport
SOX|Sogamoso, Co|
SOY|Stronsay, Gb|
SPA|Spartanburg, SC: Spartanburg Downtown Memorial
SPB|Charlotte Amalie, VI: Seaplane Base
SPC|Santa Cruz De La Palma, Spain: La Palma
SPD|Saidpur, Bangladesh: Saidpur Airport
SPE|Sepulot, Malaysia: Sepulot Airport
SPF|Spearfish, SD: Black Hills Clyde Ice Field
SPG|Tampa, FL: Albert Whitted
SPH|Sopu, Papua New Guinea: Sopu
SPI|Springfield, IL: Capital
SPK|Metropolitan Area, Japan: Metropolitan
SPM|Spangdalem, Germany: Spangdalem Airport
SPN|Saipan, TT: Saipan International
SPO|San Pablo, Spain: San Pablo Airport
SPP|Menongue, Angola: Menongue East
SPQ|San Pedro, CA: Catalina Sea Plane Base
SPR|San Pedro, Belize: San Pedro Airport
SPS|Wichita Falls, TX: Sheppard Air Force Base / Wichita Falls Air Trml
SPU|Split, Croatia: Sea Plane Base it Airport
SPW|Spencer, IA: Spencer Municipal
SPY|San Pedro, Cote d Ivoire (formerly Ivory Coast): San Pedro Airport
SPZ|Springdale, AR: Springdale Municipal
SQA|Santa Ynez, CA: Santa Ynez Airport
SQC|Southern Cross, Au|
SQG|Sintang, Id|
SQH|Son La, Vn|
SQI|Sterling/Rock Falls, IL: Whiteside County
SQJ|Shehdi, Et|
SQL|San Carlos, CA: San Carlos Airport
SQN|Sanana, Indonesia: Sanana
SQO|Storuman, Sweden: Gunnarn
SQQ|Siauliai, Lithuania: Siauliai Airport
SQR|Soroako, Indonesia: Soroako Airport
SQS|San Ignacio, Bz|
SQU|Saposoa, Pe|
SQV|Sequim, WA: Sequim Valley
SQW|Skive, Dk|
SQX|Sao Miguel Do Oeste, Br|
SQY|Sao Lourenco Do Sul, Br|
SRA|Santa Rosa, Brazil: Santa Rosa Airport
SRB|Santa Rosa, Bolivia: Santa Rosa Airport
SRC|Searcy, AR: Searcy Municipal
SRD|San Ramon, Bo|
SRE|Sucre, Bolivia: Lajas Tambo
SRF|San Rafael, CA: San Rafael Gnoss-Hamilton
SRG|Semarang, Indonesia: Achmad Yani
SRH|Sarh, Chad: Sarh
SRI|Samarinda, Indonesia: Samarinda Airport
SRJ|San Borja, Bolivia: San Borja Airport
SRL|Santa Rosalia, Mexico: San Lucas
SRN|Strahan, Australia: Strahan
SRO|Santana Ramos, Colombia: Santana Ramos Airport
SRP|Stord, Norway: Stord Airport
SRQ|Sarasota/Bradenton, FL: Sarasota Bradenton
SRV|Stony River, AK: Stony River Airport
SRW|Salisbury, NC: Rowan County
SRX|Sert, Ly|
SRY|Sary, Ir|
SRZ|El Trompillo, Bolivia: El Trompillo
SSA|Salvador, Brazil: Dois De Julho
SSB|Christiansted, VI: Seaplane Base
SSC|Sumter, SC: Shaw Air Force Base
SSG|Malabo, Equatorial Guinea: Malabo Airport
SSH|Sharm El Sheikh, Arab Republic Of Egypt: Sham El Sheikh International
SSI|Brunswick, GA: Mckinnon
SSJ|Sandnessjoen, Norway: Stokka
SSL|Santa Rosalia, Colombia: Santa Rosalia Airport
SSM|Sault Ste. Marie, MI: Metropolitan Area
SSN|Seoul, South Korea: Seoul Ab
SSR|Sara, Vu|
SSS|Siassi, Papua New Guinea: Siassi Airport
SST|Santa Teresita, Argentina: Santa Teresita Airport
SSW|Stuart Island, WA: Stuart Island Airpark
SSX|Samsun, Turkey: Samsun Airport
SSY|Mbanza Congo, Angola: Mbanza Congo Airport
SSZ|Santos, Br|
STA|Stauning, Denmark: Stauning Airport
STB|Santa Barbara, Venezuela: Santa Barbara Airport
STC|St. Cloud, MN: St. Cloud Municipal
STD|Santo Domingo, Venezuela: Mayor Guerrero Vivas
STE|Wausau/Marshfield, WI: Stevens Point
STF|Starkville, MS: George M. Bryan
STG|St. George Island, AK: St. George Island Airport
STI|Santiago, Dominican Republic: Santiago Airport
STJ|St. Joseph, MO: Rosecrans Memorial
STK|Sterling, CO: Crosson Field
STL|St. Louis, MO: Lambert International
STM|Santarem, Brazil: Eduardo Gomes
STN|London, United Kingdom: Stansted
STO|Stockholm, Sweden: (Stockholm Mean)
STP|Minneapolis/St.Paul, MN: St. Paul Downtown
STQ|St. Mary's, PA: St Marys Municipal
STR|Stuttgart, Germany: Stuttgart
STS|Santa Rosa, CA: Sonoma County
STT|Charlotte Amalie, VI: Harry S. Truman
STU|Santa Cruz, Bz|
STV|Surat, In|
STW|Stavropol, Russia (European): Stavropol Airport
STX|Christiansted, VI: Alexander Hamilton
STY|Salto, Uruguay: Nueva Hesperides
STZ|Santa Terezinha, Brazil: Santa Terezinha
SUA|Stuart, FL: Witham Field
SUB|Surabaya, Indonesia: Perak
SUC|Sundance, WY: Schloredt
SUE|Sturgeon Bay, WI: Sturgeon Bay
SUF|Lamezia-Terme, Italy: Lamezia-Terme Airport
SUG|Surigao, Philippines: Surigao Airport
SUH|Sur, Om|
SUI|Sukhumi, Georgia: Babusheri
SUJ|Satu Mare, Romania: Satu Mare Airport
SUK|Samchuk, South Korea: Samchok
SUL|Sui, Pakistan: Sui Airport
SUM|Sumter, SC: Sumter Municipal
SUN|Sun Valley/Hailey/Ketchum, ID: Friedman Memorial
SUO|Sun River, OR: Sun River Airport
SUR|Summer Beaver, Ca|
SUS|St. Louis, MO: Spirit Of St. Louis
SUT|Sumbawanga, Tanzania: Sumbawanga Airport
SUU|Fairfield, CA: Travis Air Force Base
SUV|Suva, Fiji Islands: Fiji  Nandi
SUW|Superior, WI: Richard I Bong
SUX|Sioux City, IA: Sioux City Municipal
SVA|Savoonga, AK: Savoonga Airport
SVB|Sambava, Madagascar: Sambava Airport
SVC|Silver City/Hurley, NM: Silver City Grant County
SVD|St. Vincent, St. Vincent and North Grenadines: Arnos Vale
SVG|Stavanger, Norway: Sola
SVH|Statesville, NC: Statesville Municipal
SVI|San Vincente Del Caguan, Co|
SVJ|Svolvaer, Norway: Svolvaer
SVL|Savonlinna, Finland: Savonlinna Airport
SVN|Savannah, GA: Hunter Army Air Field
SVO|Moscow, Russia (European): Moscow Sheremetyevo International
SVP|Kuito, Angola: Kuito Airport
SVQ|Seville, Spain: Seville Airport
SVS|Stevens Village, AK: Stevens Village Airport
SVU|Savusavu, Fiji Islands: Savusavu Airport
SVW|Sparrevohn, AK: Sparrevohn Afs
SVX|Ekaterinburg, Russia (Asian): Koltsovo
SVZ|San Antonio, Venezuela: San Antonio Del Tachira
SWA|Shantou, China: Shantou Airport
SWB|Shaw River, Australia: Shaw River Airport
SWC|Stawell, Australia: Stawell Airport
SWD|Seward, AK: Seward Airport
SWF|Newburgh/Poughkeepsie, NY: Stewart
SWG|Satwag, Pg|
SWH|Swan Hill, Au|
SWI|Swindon, United Kingdom: Swindon Airport
SWJ|South West Bay, Vu|
SWK|Milan, Italy: Segrate
SWL|Spanish Wells, Bahamas: Spanish Wells Airport
SWO|Stillwater, OK: Searcy Field
SWP|Swakopmund, Na|
SWQ|Sumbawa, Indonesia: Sumbawa Besar
SWR|Silur, Pg|
SWS|Swansea, United Kingdom: Swansea Airport
SWT|Strzhewoi, Ru|
SWU|Suwon, South Korea: Suwon Airport
SWW|Sweetwater, TX: Avenger Field
SXB|Strasbourg, France: Strasbourg International
SXE|Sale, Australia: Sale Airport
SXF|Berlin, Germany: Berlin Schoenefeld
SXG|Senanga, Zambia: Senanga Airport
SXH|Sehulea, Pg|
SXK|Saumlaki, Id|
SXL|Sligo, Ireland: Sligo Airport
SXM|St Maarten, Netherlands Antilles: Prinses Juliana
SXO|Sao Felix Do Araguaia, Br|
SXP|Sheldon Point, AK: Sheldons Point
SXQ|Soldotna, AK: Soldotna Airport
SXR|Srinagar, India: Srinagar Airport
SXS|Sahabat 16, My|
SXU|Soddu, Ethiopia: Soddu Airport
SXW|Sauren, Pg|
SXX|Sao Felix Do Xingu, Br|
SXY|Sidney, NY: Sidney Municipal
SXZ|Siirt, Tr|
SYA|Shemya, AK: Shemya Air Force Base
SYB|Seal Bay, AK: Seal Bay Airport
SYD|Sydney, Australia: Sydney International /Kingsford Smith
SYE|Sa'dah, Ye|
SYI|Shelbyville/Tullahoma, TN: Bomar Field
SYM|Simao, Cn|
SYN|Stanton, MN: Carleton
SYO|Shonai, Japan: Shonai Airport
SYP|Santiago, Pa|
SYQ|San Jose, Cr|
SYR|Syracuse, NY: Syracuse Hancock International
SYT|Saint-Yan, France: St Yan
SYU|Sue Island, Au|
SYW|Sehwen, Pk|
SYX|Sanya, China: Sanya Airport
SYY|Stornoway, United Kingdom: Stornoway Airport
SYZ|Shiraz, Iran: Shiraz International
SZA|Soyo, Angola: Soyo Airport
SZB|Kuala Lumpur, Malaysia: Sultan Abdul Aziz Shah
SZC|Santa Cruz, Costa Rica: Santa Cruz Airport
SZD|Sheffield, United Kingdom: Sheffield City
SZE|Semera, Et|
SZF|Samsun, Turkey: Carsamba
SZG|Salzburg, Austria: Salzburg Airport
SZJ|Unknown Code Description|
SZK|Skukuza, Republic Of South Africa: Skukuza So. Africa
SZL|Warrensburg, MO: Whiteman Air Force Base
SZM|Unknown Code Description|
SZO|Szombathely, Hungary: Szombathely Airport
SZP|Santa Paula, CA: Santa Paula Airport
SZS|Stewart Island, Nz|
SZT|San Cristobal, Mexico: San Cristobal De Las Casas
SZV|Suzhou, Cn|
SZW|Schwerin, Germany: Parchim
SZX|Shenzhen, China: Shenzhen Airport
SZZ|Szczecin, Poland: Szczecin Airport
TAB|Tobago, Trinidad and Tobago: Crown Point
TAC|Tacloban, Philippines: Tacloban Sea Plane Base
TAD|Trinidad, CO: Las Animas County
TAE|Taegu, South Korea: Taegu International
TAF|Oran, Algeria: Tafaraoui
TAG|Tagbilaran, Philippines: Tagbilaran Airport
TAH|Tanna Island, Vanuatu: Tanna Isl
TAI|Taiz, Yemen: Taiz/Ganed
TAJ|Aitape, Pg|
TAK|Takamatsu, Japan: Takamatsu Airport
TAL|Tanana, AK: Ralph M Calhoun Meml
TAM|Tampico, Mexico: Madero
TAN|Tana Island, New Hebrides: Tana Island
TAO|Qingdao, China: Qingdao Airport
TAP|Tapachula, Mexico: Tapachula East
TAR|Taranto, Italy: Grottaglie
TAS|Tashkent, Uzbekistan: Vostochny
TAT|Tatry/Poprad, Slovakia: Tatry/Poprad Airport
TAV|Tau, TT: Tau Airport
TAX|Taliabu, Indonesia: Taliabu Airport
TAY|Tartu, Ee|
TBB|Tuy  Hoa, Vietnam: Tuy Hoa
TBE|Timbunke, Pg|
TBF|Tabiteuea, Kiribati (Gilbert and Canton Islands): Tabiteuea Airport
TBG|Tabubil, Pg|
TBI|The Bight, Bahamas: The Bight Airport
TBJ|Tabarka, Tn|
TBL|Tableland, Australia: Tableland Airport
TBN|Fort Leonard Wood, MO: Forney Army Air Field
TBO|Tabora, Tanzania: Tabora Airport
TBP|Tumbes, Peru: Tumbes
TBR|Statesboro, GA: Statesboro Municipal
TBS|Tbilisi, Georgia: Novo Alexeyevka
TBT|Tabatinga, Brazil: Tabatinga Airport
TBU|Tonga Tapu, Tonga: Fua Amotu International
TBW|Tambov, Ru|
TBZ|Tabriz, Iran: Tabriz Airport
TCA|Tennant Creek, Australia: Tennant Creek Airport
TCB|Treasure Cay, Bahamas: Treasure Cay Airport
TCC|Tucumcari, NM: Tucumcari Municipal
TCE|Tulcea, Romania: Tulcea Airport
TCF|Tocoa, Honduras: Tocoa Airport
TCG|Unknown Code Description|
TCH|Tchibanga, Gabon: Tchibanga Airport
TCI|Tenerife, Spain: (Metropolitan Area)
TCJ|Torembi, Pg|
TCK|Tinboli, Pg|
TCL|Tuscaloosa, AL: Tuscaloosa Municipal
TCM|Tacoma, WA: Mcchord Air Force Base
TCN|Tehuacan, Mexico: Tehuacan Airport
TCO|Tumaco, Colombia: La Florida
TCP|Taba, Arab Republic Of Egypt: Taba International
TCQ|Tacna, Peru: Tacna Airport
TCR|Tuticorin, In|
TCS|Truth Or Consequences, NM: Truth Or Consequences Municipal
TCT|Takotna, AK: Takotna Airport
TCX|Unknown Code Description|
TDA|Trinidad, Colombia: San Luis De Palenque
TDB|Tetebedi, Pg|
TDD|Trinidad, Bolivia: San Javier
TDF|Roxboro, NC: Person County
TDG|Unknown Code Description|
TDK|Taldy-Kurgan, Kz|
TDL|Tandil, Ar|
TDT|Tanda Tula, Za|
TDW|Amarillo, TX: Tradewind
TDZ|Toledo, OH: Metcalf Field
TEA|Tela, Honduras: Tela Airport
TEB|Teterboro, NJ: Teterboro Airport
TEC|Telemaco Borba, Br|
TED|Thisted, Denmark: Thisted Airport
TEE|Tyee, AK: Ak
TEF|Telfer, Au|
TEH|Tetlin, AK: Tetlin Airport
TEK|Tatitlek, AK: Tatitlek Airport
TEL,Tetlin Ak: Tetlin
TEN|Unknown Code Description|
TEO|Terapo, Pg|
TEP|Teptep, Papua New Guinea: Teptep
TER|Terceira, Portugal: Lajes
TET|Tete, Mozambique: Tete Chingozi
TEU|Te Anau, New Zealand: Te Anau Airport
TEX|Telluride, CO: Telluride Regional
TEY|Thingeyri, Is|
TEZ|Tezpur, India: Tezpur Airport
TFF|Tefe, Brazil: Tefe Airport
TFI|Tufi, Papua New Guinea: Tufi
TFL|Teofilo Otoni, Br|
TFM|Telefomin, Pg|
TFN|Tenerife, Spain: Tenerife Airport
TFR|Tarbes, France: Tarbes/Ossun Lourdes
TFS|Tenerife, Spain: Reina Sofia Tenerife/Sur
TGD|Podgorica, Montenegro: Golubovci
TGE|Tuskegee, AL: Sharpe Field
TGG|Kuala Trengganu, Malaysia: Kuala Trengganu Airport
TGH|Tongoa, Vanuatu: Tongoa Airport
TGI|Tingo Maria, Peru: Tingo Maria Airport
TGJ|Tiga, Nc|
TGM|Tirgu Mures, Romania: Tirgu Mures Airport
TGN|Traralgon, Au|
TGO|Tongliao, Cn|
TGQ|Tangara Da Serra, Br|
TGR|Touggourt, Algeria: Touggourt/Sidi Mahdi
TGT|Tanga, Tanzania: Tanga Airport
TGU|Tegucigalpa, Honduras: Toncontin International
TGY|Punta Gorda, Belize: Punta Gorda Airport
TGZ|Tuxtla Gutierrez, Mexico: Francisco Sarabia
THA|Tullahoma, TN: Northern
THE|Teresina, Brazil: Teresina Airport
THF|Berlin, Germany: Tempelhof
THG|Thangool, Australia: Thangool Airport
THH|Tongoa, New Hebrides: Tongoa Airport
THK|Thakhek, La|
THL|Tachilek, Mm|
THN|Trollhattan, Sweden: Trollhattan Airport
THO|Thorshofn, Is|
THP|Thermopolis, WY: Hot Sprgs County Thermopolis Mu
THR|Tehran, Iran: Mehrabad International
THS|Sukhothai, Th|
THU|Thule, Greenland - Denmark: Thule Air Base
THV|York, PA: York Airport
THZ|Tahoua, Niger: Tah0ua
TIA|Tirana, Albania: Tirana Airport
TIC|Tinak, Marshall Islands: Tinak Airport
TID|Tiaret, Dz|
TIE|Tippi, Ethiopia: Tippi
